X,7,14
0.00e+00,0.0000e+00,0.0000e+00
5.00e-03,3.0000e-03,9.0000e-03
1.00e-02,1.3000e-02,3.5000e-02
1.50e-02,2.9200e-02,7.9000e-02
2.00e-02,5.1700e-02,1.3910e-01
#
2.50e-02,8.0400e-02,2.1480e-01
3.00e-02,1.1510e-01,3.0490e-01
4.00e-02,2.0170e-01,5.2290e-01
5.00e-02,3.1000e-01,7.8200e-01
7.00e-02,5.7970e-01,1.3724e+00
#
9.00e-02,9.0420e-01,1.9915e+00
1.00e-01,1.0800e+00,2.2930e+00
1.25e-01,1.5397e+00,2.9884e+00
1.50e-01,2.0030e+00,3.5870e+00
1.75e-01,2.4468e+00,4.0921e+00
#
2.00e-01,2.8580e+00,4.5200e+00
2.50e-01,3.5586e+00,5.2175e+00
3.00e-01,4.0970e+00,5.8080e+00
4.00e-01,4.7920e+00,6.9030e+00
5.00e-01,5.1820e+00,7.9370e+00
#
6.00e-01,5.4370e+00,8.8670e+00
7.00e-01,5.6350e+00,9.6670e+00
8.00e-01,5.8090e+00,1.0330e+01
9.00e-01,5.9680e+00,1.0864e+01
1.00e+00,6.1130e+00,1.1286e+01
#
1.25e+00,6.4157e+00,1.1990e+01
1.50e+00,6.6300e+00,1.2408e+01
2.00e+00,6.8599e+00,1.2937e+01
2.50e+00,6.9470e+00,1.3302e+01
3.00e+00,6.9790e+00,1.3558e+01
#
3.50e+00,6.9913e+00,1.3726e+01
4.00e+00,6.9960e+00,1.3832e+01
5.00e+00,6.9991e+00,1.3937e+01
6.00e+00,6.9998e+00,1.3975e+01
7.00e+00,6.9999e+00,1.3990e+01
#
8.00e+00,7.0000e+00,1.3995e+01
1.00e+01,7.0000e+00,1.3999e+01
1.50e+01,7.0000e+00,1.4000e+01
2.00e+01,7.0000e+00,1.4000e+01
5.00e+01,7.0000e+00,1.4000e+01
#
8.00e+01,7.0000e+00,1.4000e+01
1.00e+02,7.0000e+00,1.4000e+01
1.00e+03,7.0000e+00,1.4000e+01
1.00e+06,7.0000e+00,1.4000e+01
1.00e+09,7.0000e+00,1.4000e+01
